,index,Feature name,Coefficients,p_values,Original feature name,Score Calculation,Score Preliminary
97,5,initial_list_status:f,0.0,,initial_list_status,0.0,0.0
98,6,term:60,0.0,,term,0.0,0.0
99,7,emp_length_int:0,0.0,,emp_length_int,0.0,0.0
100,8,months_since_issue_d:>64,0.0,,months_since_issue_d,0.0,0.0
101,9,int_rate:20.281,0.0,,int_rate,0.0,0.0
102,10,months_since_earliest_cr_line:<140,0.0,,months_since_earliest_cr_line,0.0,0.0
103,11,inq_last_6mths:>6,0.0,,inq_last_6mths,0.0,0.0
104,12,total_rev_hi_lim:<=5K,0.0,,total_rev_hi_lim,0.0,0.0
105,13,annual_inc:<20K,0.0,,annual_inc,0.0,0.0
106,14,dti:>35,0.0,,dti,0.0,0.0
107,15,mths_since_last_delinq:0-3,0.0,,mths_since_last_delinq,0.0,0.0
108,16,mths_since_last_record:0-2,0.0,,mths_since_last_record,0.0,0.0
